      1 5	l'	org product geoloc person O
      1 1	sélection	O
      1 1	sélectionneur	O
      1 1	séjours	O
      1 1	séjour	O
      1 1	seizièmes	O
      1 1	seizième	O
      1 1	seize	O
      1 1	séisme	O
      1 1	Seisay	person
      1 1	Seine_Saint_Denis	geoloc
      1 1	Seine	geoloc
      1 1	sédatifs	O
      1 1	Securities	org
      1 1	sécuritaires	O
      1 1	sécuritaire	O
      1 1	sécuriser	O
      1 1	secteurs	O
      1 1	secteur	O
      1 1	secte	O
      1 1	secrets	O
      1 1	secret	O
      1 1	secoué	O
      1 1	secoue	O
      1 1	secouée	O
      1 1	second	O
      1 1	secondes	O
      1 1	seconde	O
      1 1	sec	O
      1 1	Sébastien	person
      1 1	séance	O
      1 1	sculpteurs	O
      1 1	sculpteur	O
      1 1	scrutins	O
      1 1	scrutin	O
      1 1	scrap	O
      1 1	score	O
      1 1	scolaires	O
      1 1	scission	O
      1 1	scientifiques	O
      1 1	scientifique	O
      1 1	science	O
      1 1	schéma	O
      1 1	Schalken	person
      1 1	sceptiques	O
      1 1	scène	O
      1 1	scénariste	O
      1 1	scénarios	O
      1 1	scénario	O
      1 1	scellé	O
      1 1	scandalisé	O
      1 1	scandale	O
      1 1	Scala	geoloc
      1 1	savons	O
      1 1	savon	O
      1 1	savoir	O
      1 1	savoir_faire	O
      1 1	saviez	O
      1 1	savez	O
      1 1	savent	O
      1 1	savants	O
      1 1	savait	O
      1 1	savais	O
      1 1	savaient	O
      1 1	sauvetage	O
      1 1	sauvés	O
      1 1	sauver	O
      1 1	sauvé	O
      1 1	sauvage	O
      1 1	sauts	O
      1 1	saurait	O
      1 1	sauf_qu'	O
      1 1	sauf_que	O
      1 1	sauf	O
      1 1	sauf_à	O
      1 1	satisfaits	O
      1 1	satisfait	O
      1 1	satisfaite	O
      1 1	satisfaire	O
      1 1	satisfaction	O
      1 1	satellite	O
      1 1	satellitaire	O
      1 1	Sarno	geoloc
      1 1	Sarkozy	person
      1 1	Sarah	person
      1 1	Santini	person
      1 1	Santander	geoloc
      1 1	sans_qu'	O
      1 1	sans_que	O
      1 1	sans_merci	O
      1 1	sans_doute	O
      1 1	sans_cesse	O
      1 1	sans_aucun_doute	O
      1 1	sanitaires	O
      1 1	sanguin	O
      1 1	sang	O
      1 1	sang_froid	O
      1 1	sanctions	O
      1 1	sanction	O
      1 1	Samuel	person
      1 1	Samir	person
      1 1	samedi	O
      1 1	Samaranch	person
      1 1	saluer	O
      1 1	salué	O
      1 1	salue	O
      1 1	salons	O
      1 1	Salon	O
      1 1	salon	O
      1 1	salles	O
      1 1	salle	O
      1 1	Salem	person
      1 1	salarié	O
      1 1	salariée	O
      1 1	salariales	O
      1 1	salaires	O
      1 1	salaire	O
      1 1	Salafiya	org
      1 1	Salafia	org
      1 1	sait	O
      1 1	saison	O
      1 1	saisonnières	O
      1 1	sais	O
      1 1	saisir	O
      1 1	saisi	O
      1 1	saisie	O
      1 1	Saint_Pétersbourg	geoloc
      1 1	Saint_Nazaire	geoloc
      1 1	Saint_Michel	geoloc
      1 1	Saint_Malo	geoloc
      1 1	sainte	O
      1 1	Saint_Cloud	geoloc
      1 1	Sahra	product
      1 1	Sahel	person
      1 1	sahariens	O
      1 1	Sadoux	person
      1 1	sachez	O
      1 1	sache	O
      1 1	sachant	O
      1 1	SACD	O
      1 1	saboter	O
      1 1	rythme	O
      1 1	Russes	O
      1 1	russe	O
      1 1	rural	O
      1 1	rurale	O
      1 1	rupture	O
      1 1	Rumsfeld	person
      1 1	ruine	O
      1 1	rugby	O
      1 1	rues	O
      1 1	rubrique	O
      1 1	RTM	org
      1 1	RTL	org
      1 1	royaume	O
      1 1	Roux	person
      1 1	rouvrir	O
      1 1	rouvrira	O
      1 1	routier	O
      1 1	routes	O
      1 1	route	O
      1 1	Route_Inter	org
      1 1	Roussillon	geoloc
      1 1	Roulmann	person
      1 1	roulant	O
      1 1	Rosny_sous_Bois	geoloc
      1 1	Rosinski	person
      1 1	Roselyne	person
      1 1	roquettes	O
      1 1	roquette	O
      1 1	ronde	O
      1 1	roman	O
      1 1	rôles	O
      1 1	rôle	O
      1 1	Roland	person
      1 1	Roissy	geoloc
      1 1	Roger	person
      1 1	Rogatien	person
      1 1	Rochdi	person
      1 1	roc	geoloc
      1 1	Robredo	person
      1 1	robinet	O
      1 1	robes	O
      1 1	robe	O
      1 1	RMIstes	O
      1 1	rivale	O
      1 1	Rithi	person
      1 1	risques	O
      1 1	risquerait	O
      1 1	risque	O
      1 1	rire	O
      1 1	riposte	O
      1 1	Rio_de_Janeiro	geoloc
      1 1	ringard	O
      1 1	Rikaki	person
      1 1	rigueur	O
      1 1	rigoureux	O
      1 1	Rifaâ	org
      1 1	rien	O
      1 1	Richter	person
      1 1	richesses	O
      1 1	riche	O
      1 1	Rice	person
      1 1	Ribes	person
      1 1	Rhône	geoloc
      1 1	Rhein	person
      1 1	rfi	geoloc
      1 1	Reynerie	geoloc
      1 1	revu	O
      1 1	révolution	O
      1 1	révolue	O
      1 1	révoltés	O
      1 1	revivre	O
      1 1	révision	O
      1 1	réviser	O
      1 1	revient	O
      1 1	reviens	O
      1 1	revienne	O
      1 1	reviennent	O
      1 1	reviendrons	O
      1 1	rêver	O
      1 1	rêvé	O
      1 1	rêve	O
      1 1	revenus	O
      1 1	revenu	O
      1 1	revenons	O
      1 1	revenir	O
      1 1	revendiqué	O
      1 1	revendiquent	O
      1 1	revendication	O
      1 1	révélé	O
      1 1	révélations	O
      1 1	réveil	O
      1 1	revanche	O
      1 1	réussite	O
      1 1	réussir	O
      1 1	réussi	O
      1 1	réussie	O
      1 1	réunit	O
      1 1	réunissent	O
      1 1	réunissant	O
      1 1	réunis	O
      1 1	réunir	O
      1 1	réunira	O
      1 1	réunions	O
      1 1	réunion	O
      1 1	réuni	O
      1 1	réunie	O
      1 1	rétroviseur	O
      1 1	retrouvons	O
      1 1	retrouvez	O
      1 1	retrouvés	O
      1 1	retrouver	O
      1 1	retrouvera	O
      1 1	retrouvé	O
      1 1	retrouve	O
      1 1	retrouvent	O
      1 1	retrouvée	O
      1 1	retrouvailles	O
      1 1	rétrospective	O
      1 1	rétrograde	O
      1 1	retrait	O
      1 1	retraités	O
      1 1	retours	O
      1 1	retour	O
      1 1	retournés	O
      1 1	retourner	O
      1 1	retourné	O
      1 1	retournent	O
      1 1	retomber	O
      1 1	retombées	O
      1 1	retirer	O
      1 1	retiré	O
      1 1	retire	O
      1 1	retirée	O
      1 1	retient	O
      1 1	retiendra	O
      1 1	réticents	O
      1 1	réticence	O
      1 1	retenus	O
      1 1	retenu	O
      1 1	retenues	O
      1 1	rétention	O
      1 1	retenir	O
      1 1	retard	O
      1 1	retardée	O
      1 1	rétablissent	O
      1 1	rétablir	O
      1 1	résume	O
      1 1	résultent	O
      1 1	résultats	O
      1 1	résultat	O
      1 1	restructuration	O
      1 1	restrictions	O
      1 1	restos	org
      1 1	restez	O
      1 1	resteront	O
      1 1	rester	O
      1 1	restera	O
      1 1	resté	O
      1 1	reste	O
      1 1	restent	O
      1 1	restée	O
      1 1	restaurations	O
      1 1	restauration	O
      1 1	restant	O
      1 1	ressources	O
      1 1	ressort	O
      1 1	ressortissants	O
      1 1	ressembler	O
      1 1	responsables	O
      1 1	responsable	O
      1 1	responsabilités	O
      1 1	responsabilité	O
      1 1	respiratoires	O
      1 1	respirateur	O
      1 1	respect	O
      1 1	respectivement	O
      1 1	respecter	O
      1 1	respectera	O
      1 1	respecté	O
      1 1	respecte	O
      1 1	respectent	O
      1 1	respectant	O
      1 1	résoudre	O
      1 1	résolution	O
      1 1	résolument	O
      1 1	résolue	O
      1 1	résistance	O
      1 1	résident	O
      1 1	réserves	O
      1 1	réservé	O
      1 1	réservées	O
      1 1	réseaux	O
      1 1	réseau	O
      1 1	rescapé	O
      1 1	Réresse	person
      1 1	réquisitoire	O
      1 1	requise	O
      1 1	réputation	O
      1 1	républicains	O
      1 1	républicain	O
      1 1	reprocher	O
      1 1	reproche	O
      1 1	reprochent	O
      1 1	repris	O
      1 1	reprises	O
      1 1	reprise	O
      1 1	représentés	O
      1 1	représenté	O
      1 1	représente	O
      1 1	représentées	O
      1 1	représentation	O
      1 1	représentant	O
      1 1	représentait	O
      1 1	reprennent	O
      1 1	reprendre	O
      1 1	reprend	O
      1 1	reporters	O
      1 1	reporter	O
      1 1	reportages	O
      1 1	reportage	O
      1 1	réponses	O
      1 1	réponse	O
      1 1	répondu	O
      1 1	répondre	O
      1 1	répond	O
      1 1	répondait	O
      1 1	repli	O
      1 1	replacer	O
      1 1	répétition	O
      1 1	répéter	O
      1 1	répète	O
      1 1	répété	O
      1 1	repères	O
      1 1	repas	O
      1 1	repart	O
      1 1	répartition	O
      1 1	répartir	O
      1 1	repartir	O
      1 1	repartie	O
      1 1	reparle	O
      1 1	réparer	O
      1 1	réouverture	O
      1 1	ré	O
      1 1	re	O
      1 1	renverser	O
      1 1	rentrés	O
      1 1	rentrer	O
      1 1	rentré	O
      1 1	rentre	O
      1 1	rentrent	O
      1 1	rentrée	O
      1 1	rentrait	O
      1 1	rentable	O
      1 1	renseignements	O
      1 1	renseignement	O
      1 1	renouveler	O
      1 1	renouvelé	O
      1 1	Reno	person
      1 1	renoncer	O
      1 1	renoncé	O
      1 1	renforts	O
      1 1	renfort	O
      1 1	renforcer	O
      1 1	renforce	O
      1 1	renforcement	O
      1 1	rendus	O
      1 1	rendu	O
      1 1	rendue	O
      1 1	rendra	O
      1 1	rend	O
      1 1	rendez_vous	O
      1 1	rendent	O
      1 1	rencontrés	O
      1 1	rencontres	O
      1 1	rencontrer	O
      1 1	rencontrera	O
      1 1	rencontré	O
      1 1	rencontre	O
      1 1	rencontrent	O
      1 1	rencontrée	O
      1 1	Renaud	person
      1 1	Rémy	person
      1 1	rémunérés	O
      1 1	rémunérer	O
      1 1	rémunéré	O
      1 1	rémunération	O
      1 1	remporter	O
      1 1	remporté	O
      1 1	remporte	O
      1 1	remplit	O
      1 1	remplis	O
      1 1	remplir	O
      1 1	remplacer	O
      1 1	remplacé	O
      1 1	remplacées	O
      1 1	remparts	O
      1 1	remords	O
      1 1	remonte	O
      1 1	remontant	O
      1 1	remis	O
      1 1	remise	O
      1 1	remettre	O
      1 1	remet	O
      1 1	remercie	O
      1 1	remerciement	O
      1 1	remèdes	O
      1 1	rembourser	O
      1 1	remarques	O
      1 1	remarquer	O
      1 1	remarqué	O
      1 1	remarque	O
      1 1	Reltien	person
      1 1	relire	O
      1 1	religion	O
      1 1	religieux	O
      1 1	reliefs	O
      1 1	relever	O
      1 1	relève	O
      1 1	relevé	O
      1 1	relèvement	O
      1 1	relégation	O
      1 1	relatives	O
      1 1	relative	O
      1 1	relativement	O
      1 1	relation	O
      1 1	relatifs	O
      1 1	relancer	O
      1 1	relancé	O
      1 1	relance	O
      1 1	relais	O
      1 1	réjouit	O
      1 1	réjouissent	O
      1 1	réjouis	O
      1 1	rejoint	O
      1 1	rejoindre	O
      1 1	rejoignent	O
      1 1	rejette	O
      1 1	rejeté	O
      1 1	réitère	O
      1 1	reine	O
      1 1	réindustrialisation	O
      1 1	réhabiliter	O
      1 1	régulièrement	O
      1 1	régulation	O
      1 1	régulariser	O
      1 1	régularisation	O
      1 1	regroupe	O
      1 1	regrette	O
      1 1	regrettent	O
      1 1	regrets	O
      1 1	Regragui	person
      1 1	régner	O
      1 1	règne	O
      1 1	règles	O
      1 1	réglés	O
      1 1	régleront	O
      1 1	régler	O
      1 1	règle	O
      1 1	réglé	O
      1 1	règlements	O
      1 1	règlement	O
      1 1	réglée	O
      1 1	registre	O
      1 1	régions	O
      1 1	régionaux	O
      1 1	Régional	O
      1 1	régionales	O
      1 1	régionale	O
      1 1	régime	O
      1 1	regard	O
      1 1	regardez	O
      1 1	regarder	O
      1 1	regardé	O
      1 1	regarde	O
      1 1	regagner	O
      1 1	regagné	O
      1 1	refus	O
      1 1	refuser	O
      1 1	refusé	O
      1 1	refuse	O
      1 1	refusent	O
      1 1	refusant	O
      1 1	réfugié	O
      1 1	réfrigérateur	O
      1 1	refrain	O
      1 1	refoulé	O
      1 1	réformes	O
      1 1	réformer	O
      1 1	réforme	O
      1 1	réflexions	O
      1 1	réflexion	O
      1 1	reflète	O
      1 1	réfléchir	O
      1 1	réfléchi	O
      1 1	référendum	O
      1 1	référence	O
      1 1	refaire	O
      1 1	Reeve	person
      1 1	réel	O
      1 1	réelle	O
      1 1	réellement	O
      1 1	réédition	O
      1 1	réécoutant	O
      1 1	rééchelonnement	O
      1 1	réduit	O
      1 1	réduire	O
      1 1	réduction	O
      1 1	redoux	O
      1 1	redoutent	O
      1 1	redistribuer	O
      1 1	rédigé	O
      1 1	redevenir	O
      1 1	redéployer	O
      1 1	rédemption	O
      1 1	rédaction	O
      1 1	reçus	O
      1 1	récuse	O
      1 1	récupérer	O
      1 1	récupère	O
      1 1	reçu	O
      1 1	reculé	O
      1 1	recueillis	O
      1 1	recueillir	O
      1 1	recueilli	O
      1 1	rectrice	O
      1 1	rectorat	O
      1 1	recruter	O
      1 1	recruté	O
      1 1	recrutement	O
      1 1	recours	O
      1 1	records	O
      1 1	record	O
      1 1	reconnu	O
      1 1	reconnues	O
      1 1	reconnaître	O
      1 1	reconnaît	O
      1 1	reconnaissez	O
      1 1	reconnaissance	O
      1 1	reconnais	O
      1 1	reconduite	O
      1 1	réconciliation	O
      1 1	récompense	O
      1 1	recommandé	O
      1 1	recommandée	O
      1 1	recommandations	O
      1 1	recommandation	O
      1 1	récoltes	O
      1 1	récolte	O
      1 1	reçoivent	O
      1 1	reçoit	O
      1 1	réclamer	O
      1 1	réclamé	O
      1 1	réclame	O
      1 1	réclament	O
      1 1	réclamée	O
      1 1	réciprocité	O
      1 1	recherchés	O
      1 1	recherches	O
      1 1	rechercher	O
      1 1	recherché	O
      1 1	recevra	O
      1 1	recevoir	O
      1 1	recevant	O
      1 1	recettes	O
      1 1	réception	O
      1 1	Recep	person
      1 1	récents	O
      1 1	récent	O
      1 1	récentes	O
      1 1	récente	O
      1 1	récemment	O
      1 1	rebondir	O
      1 1	rébellion	O
      1 1	rebelles	O
      1 1	rebelle	O
      1 1	Real	org
      1 1	réalité	O
      1 1	réaliste	O
      1 1	réalisés	O
      1 1	réaliser	O
      1 1	réalisé	O
      1 1	réalisées	O
      1 1	réalisée	O
      1 1	réalisatrices	O
      1 1	réalisatrice	O
      1 1	réalisation	O
      1 1	réalisateur	O
      1 1	réagissez	O
      1 1	réagir	O
      1 1	réagi	O
      1 1	Reagan	person
      1 1	réaffirmé	O
      1 1	réaffirment	O
      1 1	réactions	O
      1 1	réaction	O
      1 1	RDC	geoloc
      1 1	Raziq	person
      1 1	rayons	O
      1 1	Raymond	person
      1 1	Ravalomanana	person
      1 1	ravages	O
      1 1	ravagé	O
      1 1	rationnellement	O
      1 1	ratifier	O
      1 1	ratifié	O
      1 1	ratification	O
      1 1	rate	O
      1 1	rassurer	O
      1 1	rassure	O
      1 1	rassemblés	O
      1 1	rassemblement	O
      1 1	ras_le_bol	O
      1 1	RASD	geoloc
      1 1	rares	O
      1 1	rare	O
      1 1	rarement	O
      1 1	rapprocher	O
      1 1	rapproché	O
      1 1	rapprochement	O
      1 1	rapports	O
      1 1	rapporter	O
      1 1	rapporte	O
      1 1	rappelons	O
      1 1	rappel	O
      1 1	rappelle	O
      1 1	rappelez	O
      1 1	rappeler	O
      1 1	rappelé	O
      1 1	rappelant	O
      1 1	rapidité	O
      1 1	rapide	O
      1 1	rapidement	O
      1 1	Raphaël	person
      1 1	rangs	O
      1 1	rang	O
      1 1	ramener	O
      1 1	Ramallah	geoloc
      1 1	Ramadi	geoloc
      1 1	Ramadan	O
      1 1	ralliement	O
      1 1	ralentissement	O
      1 1	ralentir	O
      1 1	Raja	org
      1 1	raisons	O
      1 1	raison	O
      1 1	rails	O
      1 1	raids	O
      1 1	raid	O
      1 1	rage	O
      1 1	Raffarin	person
      1 1	rafales	O
      1 1	Rafa	geoloc
      1 1	Rafael	person
      1 1	Raël	person
      1 1	Radio_France	org
      1 1	Radio_France_Internationale	org
      1 1	Radiocom	org
      1 1	radieux	O
      1 1	radicaux	O
      1 1	radical	O
      1 1	radars	O
      1 1	radar	O
      1 1	racontez	O
      1 1	raconter	O
      1 1	raconté	O
      1 1	raconte	O
      1 1	racontent	O
      1 1	racistes	O
      1 1	raciste	O
      1 1	Rabia	person
      1 1	Rabaud	person
      1 1	quotidien	O
      1 1	quotidiennes	O
      1 1	quotidienne	O
      1 1	quotidiennement	O
      1 1	qu'on_le_veuille_ou_non	O
      1 1	quoique	O
      1 1	quoi	O
      1 1	qu'	O
      1 1	qu	O
      1 1	quitter	O
      1 1	quittera	O
      1 1	quitté	O
      1 1	quitte	O
      1 1	quittent	O
      1 1	quinzième	O
      1 1	quinzaine	O
      1 1	quinté	O
      1 1	Queyranne	person
      1 1	question	O
      1 1	qu'est_ce_qu'	O
      1 1	qu'est_ce_que	O
      1 1	qu'est_ce	O
      1 1	que_si	O
      1 1	querelles	O
      1 1	Que	org
      1 1	que	O
      1 1	Quentin	person
      1 1	quels	O
      1 1	quelqu'un	O
      1 1	quelques	O
      1 1	quelques_fois	O
      1 1	quelque_peu	O
      1 1	quelque_part	O
      1 1	quelque	O
      1 1	quelquefois	O
      1 1	quelque_chose	O
      1 1	quel	O
      1 1	quelles	O
      1 1	quelle	O
      1 1	quelconque	O
      1 1	quatrième	O
      1 1	quatre_vingt	O
      1 1	quasi	O
      1 1	quasiment	O
      1 1	quarts	O
      1 1	quartiers	O
      1 1	Quartet	org
      1 1	quart_d'heure	O
      1 1	quarantaine	O
      1 1	quantité	O
      1 1	quant_aux	O
      1 1	quant_au	O
      1 1	quant_à	O
      1 1	quand	O
      1 1	quand_même	O
      1 1	qualités	O
      1 1	qualité	O
      1 1	qualifiés	O
      1 1	qualifier	O
      1 1	qualifié	O
      1 1	qualifie	O
      1 1	qualifiée	O
      1 1	qualifications	O
      1 1	quadripartite	O
      1 1	Qods	geoloc
      1 1	Pyrénées	geoloc
      1 1	Pyrénées_Atlantiques	geoloc
      1 1	putsch	O
      1 1	putschiste	O
      1 1	purement	O
      1 1	pu	O
      1 1	puisse	O
      1 1	puissent	O
      1 1	puissant	O
      1 1	puissances	O
      1 1	puissance	O
      1 1	puisqu'	O
      1 1	puisque	O
      1 1	puis	O
      1 1	pub	O
      1 1	publiques	O
      1 1	publiquement	O
      1 1	publiés	O
      1 1	publier	O
      1 1	publié	O
      1 1	publiée	O
      1 1	publics	O
      1 1	public	O
      1 1	publicité	O
      1 1	publicitaires	O
      1 1	publicitaire	O
      1 1	publication	O
      1 1	psychologique	O
      1 1	psychologiquement	O
      1 1	psychiatre	O
      1 1	PS	org
      1 1	PSG	org
      1 1	prudence	O
      1 1	prudemment	O
      1 1	proximité	O
      1 1	provoquer	O
      1 1	provoqué	O
      1 1	provoque	O
      1 1	provoquant	O
      1 1	provocation	O
      1 1	provisoire	O
      1 1	provinces	O
      1 1	province	O
      1 1	provenance	O
      1 1	prouvé	O
      1 1	protocole	O
      1 1	protester	O
      1 1	protestent	O
      1 1	protestations	O
      1 1	protestataire	O
      1 1	protestaient	O
      1 1	protégés	O
      1 1	protagonistes	O
      1 1	prosaïque	O
      1 1	propriété	O
      1 1	propriétaire	O
      1 1	propres	O
      1 1	propre	O
      1 1	proprement	O
      1 1	propos	O
      1 1	propositions	O
      1 1	proposition	O
      1 1	proposés	O
      1 1	proposer	O
      1 1	proposé	O
      1 1	proposent	O
      1 1	proportions	O
      1 1	proportion	O
      1 1	proportionnelle	O
      1 1	propager	O
      1 1	propage	O
      1 1	pro	O
      1 1	pronostics	O
      1 1	prononcer	O
      1 1	prononcé	O
      1 1	prononcées	O
      1 1	prononcée	O
      1 1	prône	O
      1 1	promouvoir	O
      1 1	promotion	O
      1 1	promoteurs	O
      1 1	promis	O
      1 1	prometteur	O
      1 1	promet	O
      1 1	promesses	O
      1 1	promesse	O
      1 1	promenade	O
      1 1	prolongée	O
      1 1	prolongations	O
      1 1	projets	O
      1 1	projet	O
      1 1	proie	O
      1 1	progressivement	O
      1 1	progression	O
      1 1	progresser	O
      1 1	progressé	O
      1 1	progresse	O
      1 1	progrès	O
      1 1	programmes	O
      1 1	programme	O
      1 1	profs	O
      1 1	profond	O
      1 1	profondeur	O
      1 1	profonde	O
      1 1	profondément	O
      1 1	prof	O
      1 1	profit	O
      1 1	profiter	O
      1 1	profitera	O
      1 1	profité	O
      1 1	profite	O
      1 1	profitent	O
      1 1	profil	O
      1 1	profilent	O
      1 1	profession	O
      1 1	professionnels	O
      1 1	professionnel	O
      1 1	professionnelles	O
      1 1	professionnelle	O
      1 1	professeurs	O
      1 1	profané	O
      1 1	produits	O
      1 1	produit	O
      1 1	produite	O
      1 1	produisent	O
      1 1	produiront	O
      1 1	produire	O
      1 1	production	O
      1 1	producteurs	O
      1 1	producteur	O
      1 1	Prodi	person
      1 1	procureur	O
      1 1	proclamés	O
      1 1	proclamé	O
      1 1	proches	O
      1 1	Proche_Orient	geoloc
      1 1	proche	O
      1 1	proche_du	O
      1 1	proche_de	O
      1 1	prochains	O
      1 1	prochain	O
      1 1	prochaines	O
      1 1	prochaine	O
      1 1	prochainement	O
      1 1	procès_verbaux	O
      1 1	processus	O
      1 1	procès	O
      1 1	procédures	O
      1 1	procédure	O
      1 1	procède	O
      1 1	procédé	O
      1 1	problèmes	O
      1 1	problème	O
      1 1	problématique	O
      1 1	probables	O
      1 1	probablement	O
      1 1	privilégiant	O
      1 1	privilège	O
      1 1	privés	O
      1 1	privé	O
      1 1	prive	O
      1 1	privée	O
      1 1	privatisations	O
      1 1	privatisation	O
      1 1	Pristina	geoloc
      1 1	prisons	O
      1 1	prisonniers	O
      1 1	prisonnier	O
      1 1	pris	O
      1 1	prises	O
      1 1	prise	O
      1 1	priorités	O
      1 1	priorité	O
      1 1	prioritaire	O
      1 1	priori	O
      1 1	Printemps	org
      1 1	printemps	O
      1 1	principes	O
      1 1	principe	O
      1 1	principaux	O
      1 1	principal	O
      1 1	principales	O
      1 1	principale	O
      1 1	principalement	O
      1 1	princesse	O
      1 1	Prince	person
      1 1	prince	O
      1 1	primordiale	O
      1 1	prime	O
      1 1	primée	O
      1 1	prière	O
      1 1	prie	O
      1 1	prévus	O
      1 1	prévu	O
      1 1	prévues	O
      1 1	prévue	O
      1 1	prévoyait	O
      1 1	prévoit	O
      1 1	prévoient	O
      1 1	prévisions	O
      1 1	prévision	O
      1 1	prévenus	O
      1 1	prévenu	O
      1 1	prévention	O
      1 1	prévenir	O
      1 1	preuves	O
      1 1	preuve	O
      1 1	prêts	O
      1 1	prêtre	O
      1 1	prêt	O
      1 1	prétexte	O
      1 1	prêté	O
      1 1	prête	O
      1 1	prêtent	O
      1 1	présumés	O
      1 1	présumé	O
      1 1	prestation	O
      1 1	pressions	O
      1 1	pression	O
      1 1	pressé	O
      1 1	presque	O
      1 1	près	O
      1 1	prés	O
      1 1	présidé	O
      1 1	préside	O
      1 1	présidents	O
      1 1	Président	O
      1 1	président	O
      1 1	présidentiel	O
      1 1	présidentielles	O
      1 1	présidentielle	O
      1 1	présidente	O
      1 1	préserver	O
      1 1	préservé	O
      1 1	présents	O
      1 1	présent	O
      1 1	présentés	O
      1 1	présenter	O
      1 1	présenté	O
      1 1	présente	O
      1 1	présentent	O
      1 1	présentées	O
      1 1	présentée	O
      1 1	présentation	O
      1 1	présentait	O
      1 1	présence	O
      1 1	près_des	O
      1 1	prescriptions	O
      1 1	prérogatives	O
      1 1	préposés	O
      1 1	préparer	O
      1 1	préparé	O
      1 1	prépare	O
      1 1	préparation	O
      1 1	préparatifs	O
      1 1	préoccupations	O
      1 1	préoccupation	O
      1 1	pré	O
      1 1	prenons	O
      1 1	prénom	O
      1 1	prenne	O
      1 1	prennent	O
      1 1	prenez	O
      1 1	preneurs	O
      1 1	prends	O
      1 1	prendront	O
      1 1	prendre	O
      1 1	prendrait	O
      1 1	prend	O
      1 1	prenant	O
      1 1	prenaient	O
      1 1	Premiers	O
      1 1	premiers	O
      1 1	premières	O
      1 1	première	O
      1 1	préméditation	O
      1 1	préjudice	O
      1 1	préfet	O
      1 1	préfère	O
      1 1	préféré	O
      1 1	préférence	O
      1 1	préfacé	O
      1 1	prédilection	O
      1 1	prédicateur	O
      1 1	prédécesseurs	O
      1 1	prédécesseur	O
      1 1	précis	O
      1 1	précisions	O
      1 1	précision	O
      1 1	préciser	O
      1 1	précisé	O
      1 1	précise	O
      1 1	précisent	O
      1 1	précisément	O
      1 1	précisant	O
      1 1	précipitations	O
      1 1	précieux	O
      1 1	précédés	O
      1 1	précédents	O
      1 1	précédent	O
      1 1	précédentes	O
      1 1	précédente	O
      1 1	précédemment	O
      1 1	précédée	O
      1 1	précautions	O
      1 1	précaution	O
      1 1	précarité	O
      1 1	précaire	O
      1 1	préalable	O
      1 1	pratiques	O
      1 1	pratique	O
      1 1	pratiquement	O
      1 1	praticiens	O
      1 1	Prague	geoloc
      1 1	pragmatique	O
      1 1	Powell	person
      1 1	pouvons	O
      1 1	pouvoirs	O
      1 1	pouvoir	O
      1 1	pouvez	O
      1 1	pouvant	O
      1 1	pouvait	O
      1 1	pouvais	O
      1 1	pouvaient	O
      1 1	Poutine	person
      1 1	poussière	O
      1 1	pousser	O
      1 1	poussé	O
      1 1	pousse	O
      1 1	poussent	O
      1 1	poussées	O
      1 1	pourtour	O
      1 1	pourtant	O
      1 1	poursuivre	O
      1 1	poursuivis	O
      1 1	poursuivi	O
      1 1	poursuivies	O
      1 1	poursuivent	O
      1 1	poursuit	O
      1 1	poursuites	O
      1 1	poursuite	O
      1 1	pourront	O
      1 1	pourrez	O
      1 1	pourra	O
      1 1	pourrait	O
      1 1	pourraient	O
      1 1	pourquoi	O
      1 1	pour_qu'	O
      1 1	pour_que	O
      1 1	pourparlers	O
      1 1	pour_l'instant	O
      1 1	pour_la_plupart	O
      1 1	pour_cent	O
      1 1	pour_autant_que	O
      1 1	pour_autant	O
      1 1	poupe	O
      1 1	poupées	O
      1 1	poule	O
      1 1	potentielles	O
      1 1	potentialités	O
      1 1	poteau	O
      1 1	poste	O
      1 1	possibles	O
      1 1	possible	O
      1 1	possibilités	O
      1 1	possibilité	O
      1 1	possession	O
      1 1	positives	O
      1 1	positive	O
      1 1	positivement	O
      1 1	positions	O
      1 1	position	O
      1 1	Positioning	O
      1 1	positif	O
      1 1	poser	O
      1 1	posé	O
      1 1	pose	O
      1 1	posent	O
      1 1	posée	O
      1 1	portugais	O
      1 1	portugaise	O
      1 1	portuaire	O
      1 1	ports	O
      1 1	portraits	O
      1 1	portrait	O
      1 1	port	O
      1 1	porteuse	O
      1 1	porteur	O
      1 1	portes	O
      1 1	porter	O
      1 1	porte_parole	O
      1 1	porté	O
      1 1	portent	O
      1 1	portefeuilles	O
      1 1	portée	O
      1 1	Port_au_Prince	geoloc
      1 1	portant	O
      1 1	portait	O
      1 1	portables	O
      1 1	portable	O
      1 1	populations	O
      1 1	population	O
      1 1	popularité	O
      1 1	populaires	O
      1 1	ponctuer	O
      1 1	pompiers	O
      1 1	pompes	O
      1 1	pompe	O
      1 1	polonais	O
      1 1	Pologne	geoloc
      1 1	pollution	O
      1 1	pollue	O
      1 1	politiques	O
      1 1	politique	O
      1 1	politiquement	O
      1 1	politiciens	O
      1 1	Polisario	org
      1 1	policiers	O
      1 1	policier	O
      1 1	policière	O
      1 1	police	O
      1 1	pôle	O
      1 1	polémique	O
      1 1	points	O
      1 1	Point	org
      1 1	pointe	O
      1 1	point_de_vue	O
      1 1	poignée	O
      1 1	poids	O
      1 1	podium	O
      1 1	P	O
      1 1	p	O
      1 1	pneumopathie	O
      1 1	pneumonie	O
      1 1	PML	product
